website,category
github.com,Educational
leetcode.com,Educational
geeksforgeeks.org,Educational
w3schools.com,Educational
stackoverflow.com,Educational
coursera.org,Educational
udemy.com,Educational
khanacademy.org,Educational
instagram.com,Social
facebook.com,Social
twitter.com,Social
snapchat.com,Social
whatsapp.com,Social
netflix.com,Entertainment
primevideo.com,Entertainment
hotstar.com,Entertainment
spotify.com,Entertainment
pubg.com,Gaming
freefire.com,Gaming
steam.com,Gaming
bet365.com,Betting
1xbet.com,Betting
